gene_id	transcript_id	gene_name	gene_length	CDS
ENSG00000152102.18	ENST00000389915.4	FAM168B	5435	259-846
ENSG00000115762.16	ENST00000403716.5	PLEKHB2	4349	561-1271
ENSG00000188219.14	ENST00000356920.9	POTEE	4159	337-3564
ENSG00000233087.7	ENST00000623617.2	RAB6D	3032	423-1187
ENSG00000173272.16	ENST00000427024.5	MZT2A	679	1-421
ENSG00000075886.11	ENST00000321253.7	TUBA3D	1520	82-1434
ENSG00000163040.14	ENST00000295171.10	CCDC74A	1543	139-1275
ENSG00000163046.15	ENST00000295181.6	ANKRD30BL	1412	251-1006
ENSG00000183840.7	ENST00000329321.4	GPR39	2576	239-1600
ENSG00000150551.11	ENST00000397463.3	LYPD1	3458	274-699
ENSG00000176771.17	ENST00000409261.6	NCKAP5	7608	378-6107
ENSG00000152127.9	ENST00000281923.4	MGAT5	8332	333-2558
ENSG00000152128.13	ENST00000281924.6	TMEM163	1892	66-935
ENSG00000153086.14	ENST00000392928.5	ACMSD	1307	297-1133
ENSG00000082258.13	ENST00000264157.10	CCNT2	6920	34-2226
ENSG00000176601.13	ENST00000392915.6	MAP3K19	5030	685-4671
ENSG00000115839.18	ENST00000264158.13	RAB3GAP1	4891	17-2962
ENSG00000121988.18	ENST00000536680.5	ZRANB3	6943	1698-3575
ENSG00000048991.16	ENST00000264160.8	R3HDM1	4648	371-3670
ENSG00000144224.17	ENST00000272638.14	UBXN4	3771	76-1602
ENSG00000115850.10	ENST00000264162.7	LCT	6273	16-5799
ENSG00000076003.5	ENST00000264156.3	MCM6	3753	79-2544
ENSG00000115866.11	ENST00000264161.9	DARS1	3099	159-1664
ENSG00000121966.7	ENST00000409817.1	CXCR4	1895	305-1375
ENSG00000144229.12	ENST00000409968.6	THSD7B	6112	179-4999
ENSG00000150540.14	ENST00000280097.5	HNMT	3132	20-898
ENSG00000144228.9	ENST00000280098.9	SPOPL	6056	411-1589
ENSG00000144227.5	ENST00000272641.4	NXPH2	2709	150-944
ENSG00000168702.18	ENST00000389484.8	LRP1B	15850	288-14087
ENSG00000115919.15	ENST00000264170.9	KYNU	15151	93-1490
ENSG00000075884.14	ENST00000409869.5	ARHGAP15	2968	178-594
ENSG00000121964.14	ENST00000392869.6	GTDC1	10514	154-1530
ENSG00000169554.22	ENST00000636471.1	ZEB2	9583	494-4213
ENSG00000121989.15	ENST00000241416.12	ACVR2A	5214	125-1666
ENSG00000115947.14	ENST00000535373.5	ORC4	6710	287-1597
ENSG00000204406.14	ENST00000642680.2	MBD5	10732	1519-6702
ENSG00000135999.12	ENST00000258484.11	EPC2	3883	268-2691
ENSG00000168280.17	ENST00000435030.6	KIF5C	6954	392-3265
ENSG00000150556.17	ENST00000409642.8	LYPD6B	1345	170-793
ENSG00000187123.15	ENST00000334166.9	LYPD6	4011	208-723
ENSG00000168288.13	ENST00000428879.5	MMADHC	1726	506-1396
ENSG00000115963.13	ENST00000375734.6	RND3	2777	251-985
ENSG00000184898.7	ENST00000331426.6	RBM43	4176	137-1210
ENSG00000123609.11	ENST00000243346.10	NMI	1229	83-1006
ENSG00000123610.5	ENST00000243347.5	TNFAIP6	1422	76-909
ENSG00000080345.18	ENST00000243326.9	RIF1	15003	484-7902
ENSG00000183091.19	ENST00000618972.4	NEB	26307	204-25886
ENSG00000162980.17	ENST00000295087.13	ARL5A	5264	246-785
ENSG00000283228.1	ENST00000637224.1	AC068547.1	2827	410-1057
ENSG00000182389.19	ENST00000539935.6	CACNB4	8378	465-2027
ENSG00000115145.10	ENST00000263904.5	STAM2	5472	122-1699
ENSG00000157827.20	ENST00000288670.14	FMNL2	5630	431-3709
ENSG00000196504.19	ENST00000410080.8	PRPF40A	8048	351-3335
ENSG00000177917.11	ENST00000326446.10	ARL6IP6	3242	6-686
ENSG00000177519.4	ENST00000325926.4	RPRM	1425	198-527
ENSG00000144278.15	ENST00000392825.8	GALNT13	5657	559-2229
ENSG00000162989.5	ENST00000295101.3	KCNJ3	4628	82-1587
ENSG00000153234.15	ENST00000339562.9	NR4A2	3472	369-2165
ENSG00000115159.16	ENST00000310454.10	GPD2	6041	373-2556
ENSG00000136542.9	ENST00000259056.5	GALNT5	10344	379-3201
ENSG00000136541.15	ENST00000397283.6	ERMN	3760	235-1128
ENSG00000115165.10	ENST00000264192.8	CYTIP	2207	70-1149
ENSG00000123612.16	ENST00000243349.13	ACVR1C	8853	221-1702
ENSG00000115170.15	ENST00000434821.7	ACVR1	3332	718-2247
ENSG00000007001.13	ENST00000605860.5	UPP2	2435	47-1171
ENSG00000153237.18	ENST00000283233.10	CCDC148	3130	315-2090
ENSG00000144283.22	ENST00000389757.7	PKP4	5777	126-3575
ENSG00000163331.12	ENST00000621326.4	DAPL1	671	57-461
ENSG00000115183.15	ENST00000263635.8	TANC1	7501	269-5854
ENSG00000196151.11	ENST00000409990.7	WDSUB1	1920	258-1688
ENSG00000123636.18	ENST00000392783.7	BAZ2B	8145	353-6859
ENSG00000136536.15	ENST00000409175.6	MARCHF7	6043	244-2358
ENSG00000241399.7	ENST00000259053.6	CD302	3932	11-709
ENSG00000248672.5	ENST00000504764.5	LY75-CD302	5650	29-5650
ENSG00000054219.11	ENST00000263636.5	LY75	6932	75-5243
ENSG00000153246.13	ENST00000283243.13	PLA2R1	14376	213-4604
ENSG00000115221.12	ENST00000283249.7	ITGB6	4641	210-2576
ENSG00000153250.20	ENST00000348849.8	RBMS1	4286	445-1665
ENSG00000136560.14	ENST00000405852.5	TANK	2155	98-1324
ENSG00000115233.12	ENST00000409682.8	PSMD14	1567	318-1250
ENSG00000136535.15	ENST00000389554.8	TBR1	3806	115-2163
ENSG00000144290.17	ENST00000375514.9	SLC4A10	5710	288-3587
ENSG00000197635.10	ENST00000360534.8	DPP4	3573	235-2535
ENSG00000115263.15	ENST00000418842.7	GCG	1124	100-642
ENSG00000078098.14	ENST00000188790.9	FAP	2696	119-2401
ENSG00000115267.8	ENST00000649979.2	IFIH1	3581	378-3455
ENSG00000115271.11	ENST00000437150.7	GCA	3651	118-771
ENSG00000184611.12	ENST00000332142.10	KCNH7	4262	250-3840
ENSG00000182263.14	ENST00000333129.4	FIGN	9537	317-2596
ENSG00000115290.10	ENST00000263915.8	GRB14	2415	174-1796
ENSG00000082438.17	ENST00000392717.6	COBLL1	9523	149-3763
ENSG00000169507.9	ENST00000303735.8	SLC38A11	3737	332-1486
ENSG00000153253.19	ENST00000283254.12	SCN3A	9102	476-6478
ENSG00000136531.18	ENST00000636662.2	SCN2A	9456	151-429
ENSG00000178662.16	ENST00000314499.11	CSRNP3	11788	377-2134
ENSG00000115339.14	ENST00000392701.8	GALNT3	3436	342-2243
ENSG00000123607.15	ENST00000243344.8	TTC21B	5415	72-4022
ENSG00000144285.22	ENST00000641996.1	SCN1A	12903	266-715
ENSG00000169432.18	ENST00000409672.5	SCN9A	9768	348-6281
ENSG00000136546.16	ENST00000643258.1	SCN7A	7465	410-5458
ENSG00000163092.21	ENST00000409195.6	XIRP2	12682	97-10746
ENSG00000172318.5	ENST00000392690.3	B3GALT1	5094	93-1073
ENSG00000198648.11	ENST00000355999.5	STK39	3272	161-1798
ENSG00000172292.15	ENST00000392687.4	CERS6	6851	201-1379
ENSG00000163072.16	ENST00000444448.6	NOSTRIN	2537	477-2168
ENSG00000152253.9	ENST00000282074.7	SPC25	1342	128-802
ENSG00000152254.11	ENST00000375363.8	G6PC2	3030	42-1109
ENSG00000073734.10	ENST00000650372.1	ABCB11	6934	128-4093
ENSG00000073737.17	ENST00000602501.5	DHRS9	2863	1504-2463
ENSG00000081479.15	ENST00000649046.1	LRP2	15657	136-14103
ENSG00000163093.12	ENST00000295240.8	BBS5	3159	61-1086
ENSG00000251569.1	ENST00000513963.1	AC093899.2	1935	75-1709
ENSG00000239474.7	ENST00000284669.2	KLHL41	2460	78-1898
ENSG00000138399.18	ENST00000453153.7	FASTKD1	4200	340-2883
ENSG00000138398.16	ENST00000260970.8	PPIG	6357	210-2474
ENSG00000154479.13	ENST00000447353.6	CCDC173	2153	79-1737
ENSG00000144362.12	ENST00000616524.4	PHOSPHO2	1253	519-1244
ENSG00000213160.10	ENST00000392647.7	KLHL23	4081	259-1935
ENSG00000138385.16	ENST00000422006.5	SSB	2463	1910-2463
ENSG00000138382.15	ENST00000410097.5	METTL5	1370	137-871
ENSG00000144357.17	ENST00000272793.10	UBR3	8009	55-5721
ENSG00000071909.19	ENST00000408978.9	MYO3B	6213	142-4167
ENSG00000204335.4	ENST00000375281.4	SP5	2047	177-1373
ENSG00000204334.7	ENST00000409885.1	ERICH2	601	54-524
ENSG00000128683.14	ENST00000493875.5	GAD1	3988	823-2100
ENSG00000115806.13	ENST00000234160.5	GORASP2	2447	89-1447
ENSG00000198586.14	ENST00000360843.7	TLK1	5726	406-2769
ENSG00000123600.20	ENST00000375258.8	METTL8	8203	217-1353
ENSG00000115827.14	ENST00000375255.8	DCAF17	5853	353-1915
ENSG00000071967.12	ENST00000321348.9	CYBRD1	4235	73-933
ENSG00000077380.16	ENST00000397119.8	DYNC1I2	4354	169-2085
ENSG00000115840.14	ENST00000422440.7	SLC25A12	3936	31-2067
ENSG00000128708.13	ENST00000457761.6	HAT1	1642	40-417
ENSG00000172878.14	ENST00000315796.5	METAP1D	3049	18-1025
ENSG00000144355.15	ENST00000361725.5	DLX1	2356	172-939
ENSG00000115844.11	ENST00000234198.9	DLX2	2454	363-1349
ENSG00000091409.15	ENST00000409080.6	ITGA6	5686	204-3479
ENSG00000152256.14	ENST00000282077.8	PDK1	14072	62-1372
ENSG00000091428.18	ENST00000397081.8	RAPGEF4	4301	140-3175
ENSG00000091436.17	ENST00000338983.7	MAP3K20	7179	196-1563
ENSG00000144354.14	ENST00000306721.8	CDCA7	2778	93-1445
ENSG00000172845.16	ENST00000310015.11	SP3	12045	532-2877
ENSG00000138430.16	ENST00000284719.8	OLA1	4251	82-1272
ENSG00000217236.2	ENST00000394967.3	SP9	2554	140-1594
ENSG00000138433.16	ENST00000342016.8	CIR1	1918	91-1443
ENSG00000144306.15	ENST00000272732.11	SCRN3	3052	98-1372
ENSG00000163328.13	ENST00000614352.4	GPR155	7321	248-2776
ENSG00000115935.17	ENST00000392547.6	WIPF1	4587	101-1612
ENSG00000138435.16	ENST00000672640.1	CHRNA1	2108	692-1576
ENSG00000128656.15	ENST00000409900.9	CHN1	3156	470-1849
ENSG00000115966.17	ENST00000264110.7	ATF2	4164	297-1814
ENSG00000154518.9	ENST00000284727.8	ATP5MC3	5484	3026-3454
ENSG00000144320.14	ENST00000544803.5	LNPK	7647	198-1577
ENSG00000174279.4	ENST00000308618.4	EVX2	4203	138-1568
ENSG00000128714.6	ENST00000392539.4	HOXD13	2416	171-1202
ENSG00000170178.7	ENST00000406506.4	HOXD12	2549	8-820
ENSG00000128713.14	ENST00000249504.7	HOXD11	1705	77-1093
ENSG00000128710.6	ENST00000249501.5	HOXD10	1785	57-1079
ENSG00000128709.13	ENST00000249499.8	HOXD9	1871	51-1109
ENSG00000175879.9	ENST00000313173.6	HOXD8	2618	663-1535
ENSG00000128652.11	ENST00000410016.5	HOXD3	2384	275-1573
ENSG00000170166.6	ENST00000306324.4	HOXD4	1136	85-852
ENSG00000128645.15	ENST00000331462.6	HOXD1	1886	135-1121
ENSG00000128654.14	ENST00000420864.5	MTX2	1592	236-349
ENSG00000170144.20	ENST00000411529.6	HNRNPA3	5688	52-1122
ENSG00000116044.16	ENST00000464747.5	NFE2L2	2749	503-2272
ENSG00000018510.16	ENST00000264167.10	AGPS	7649	34-2010
ENSG00000196659.10	ENST00000408939.4	TTC30B	3799	34-2031
ENSG00000197557.7	ENST00000355689.6	TTC30A	5744	42-2039
ENSG00000128655.18	ENST00000286063.11	PDE11A	9305	341-3142
ENSG00000284741.1	ENST00000358450.8	PDE11A	3489	100-2151
ENSG00000155636.15	ENST00000455903.6	RBM45	2964	1-407
ENSG00000079156.17	ENST00000190611.9	OSBPL6	10652	514-3318
ENSG00000180228.13	ENST00000325748.9	PRKRA	1770	146-1087
ENSG00000204311.15	ENST00000644580.2	PJVK	2301	415-1473
ENSG00000079150.18	ENST00000424785.7	FKBP7	2876	102-770
ENSG00000116095.11	ENST00000234453.10	PLEKHA3	13892	414-1316
ENSG00000155657.27	ENST00000589042.5	TTN	109224	226-108201
ENSG00000163492.15	ENST00000443758.6	CCDC141	9131	123-4715
ENSG00000187231.14	ENST00000428443.8	SESTD1	10671	360-2450
ENSG00000144331.20	ENST00000410066.7	ZNF385B	3395	667-2127
ENSG00000163510.14	ENST00000410053.8	CWC22	3524	545-3271
ENSG00000170035.16	ENST00000602710.5	UBE2E3	1556	380-1003
ENSG00000115232.14	ENST00000397033.7	ITGA4	6781	270-3368
ENSG00000188452.14	ENST00000410087.8	CERKL	3210	100-1698
ENSG00000162992.4	ENST00000295108.4	NEUROD1	2493	100-1170
ENSG00000138434.17	ENST00000440623.5	ITPRID2	5420	194-334
ENSG00000150722.10	ENST00000409137.7	PPP1R1C	3004	244-573
ENSG00000115252.18	ENST00000435564.5	PDE1A	4885	202-1839
ENSG00000077232.18	ENST00000264065.12	DNAJC10	20144	431-2812
ENSG00000162998.5	ENST00000295113.5	FRZB	2637	86-1063
ENSG00000061676.15	ENST00000361354.9	NCKAP1	20332	359-3745
ENSG00000162999.13	ENST00000354221.5	DUSP19	5191	188-841
ENSG00000163002.13	ENST00000295119.9	NUP35	1545	16-996
ENSG00000170396.9	ENST00000302277.7	ZNF804A	4527	432-4061
ENSG00000188738.15	ENST00000424728.6	FSIP2	20879	92-20815
ENSG00000065548.18	ENST00000337859.11	ZC3H15	2032	124-1404
ENSG00000138448.12	ENST00000261023.8	ITGAV	7039	284-3430
ENSG00000144369.13	ENST00000304698.10	FAM171B	5731	115-2595
ENSG00000163012.4	ENST00000295131.3	ZSWIM2	2451	41-1942
ENSG00000064989.13	ENST00000392370.8	CALCRL	6112	507-1892
ENSG00000003436.16	ENST00000233156.9	TFPI	3859	239-1153
ENSG00000144366.16	ENST00000451191.5	GULP1	7427	1-443
ENSG00000168542.16	ENST00000304636.9	COL3A1	5490	118-4518
ENSG00000204262.14	ENST00000374866.9	COL5A2	6829	158-4657
ENSG00000115368.10	ENST00000427960.5	WDR75	4297	12-305
ENSG00000138449.11	ENST00000261024.7	SLC40A1	3330	327-2042
ENSG00000138381.10	ENST00000260952.9	ASNSD1	2411	375-2306
ENSG00000286053.2	ENST00000607829.6	ASDURF	643	63-353
ENSG00000286165.1	ENST00000606910.5	AC012488.2	741	3-741
ENSG00000151687.14	ENST00000520309.5	ANKAR	4410	89-4393
ENSG00000128694.12	ENST00000519810.5	OSGEPL1	2216	344-1438
ENSG00000128699.14	ENST00000325795.7	ORMDL1	2692	788-1249
ENSG00000064933.18	ENST00000624204.3	PMS1	3417	955-3225
ENSG00000187699.10	ENST00000340623.4	C2orf88	4035	412-699
ENSG00000138379.5	ENST00000260950.5	MSTN	2819	134-1261
ENSG00000198130.16	ENST00000392332.7	HIBCH	2463	141-1157
ENSG00000151689.13	ENST00000392329.7	INPP1	2044	582-1781
ENSG00000151690.15	ENST00000392328.6	MFSD6	4796	325-2700
ENSG00000189362.12	ENST00000409150.8	NEMP2	6172	68-1321
ENSG00000138386.17	ENST00000337386.10	NAB1	4508	612-2075
ENSG00000115419.13	ENST00000320717.8	GLS	4840	265-2274
ENSG00000115415.20	ENST00000674081.1	STAT1	4134	367-2517
ENSG00000138378.19	ENST00000358470.8	STAT4	2769	259-2505
ENSG00000128641.19	ENST00000392318.8	MYO1B	5069	233-3643
ENSG00000173559.14	ENST00000674262.1	NABP1	12359	480-1094
ENSG00000168497.5	ENST00000304141.5	CAVIN2	3054	164-1441
ENSG00000144339.12	ENST00000409056.3	TMEFF2	3364	1-528
ENSG00000196950.14	ENST00000409086.7	SLC39A10	5432	276-2771
ENSG00000118997.14	ENST00000312428.11	DNAH7	12419	127-12201
ENSG00000081320.11	ENST00000263955.9	STK17B	5273	291-1409
ENSG00000138411.13	ENST00000260983.8	HECW2	12180	257-4975
ENSG00000144395.18	ENST00000389175.9	CCDC150	3597	53-3358
ENSG00000119041.11	ENST00000263956.8	GTF3C3	4261	73-2733
ENSG00000187944.4	ENST00000673386.1	C2orf66	2256	890-1243
ENSG00000197121.15	ENST00000354764.9	PGAP1	11090	92-2860
ENSG00000065413.20	ENST00000647377.1	ANKRD44	7218	43-3213
ENSG00000115524.17	ENST00000652026.1	SF3B1	9283	49-513
ENSG00000115520.8	ENST00000263960.6	COQ10B	2239	139-855
ENSG00000144381.17	ENST00000345042.6	HSPD1	2299	118-1839
ENSG00000115541.11	ENST00000409468.1	HSPE1	570	59-364
ENSG00000270757.1	ENST00000604458.1	HSPE1-MOB4	890	25-810
ENSG00000115540.15	ENST00000233892.8	MOB4	3785	151-732
ENSG00000162944.11	ENST00000295049.9	RFTN2	5419	130-1635
ENSG00000247626.5	ENST00000282276.8	MARS2	3027	38-1819
ENSG00000152430.18	ENST00000321801.11	BOLL	3135	572-1459
ENSG00000115896.16	ENST00000428675.6	PLCL1	6696	508-3795
ENSG00000119042.17	ENST00000443023.5	SATB2	6194	1467-3491
ENSG00000226124.7	ENST00000622774.1	FTCDNL1	1997	389-832
ENSG00000178074.6	ENST00000319974.6	C2orf69	3691	147-1304
ENSG00000162971.11	ENST00000354611.9	TYW5	5123	22-969
ENSG00000162972.10	ENST00000295079.6	MAIP1	1495	323-1198
ENSG00000196141.14	ENST00000409140.8	SPATS2L	6212	303-1979
ENSG00000155729.13	ENST00000359878.8	KCTD18	2939	517-1797
ENSG00000163535.18	ENST00000357799.9	SGO2	4478	49-3846
ENSG00000138356.14	ENST00000374700.7	AOX1	4928	96-4112
ENSG00000082153.18	ENST00000409600.6	BZW1	6511	92-1351
ENSG00000013441.16	ENST00000434813.3	CLK1	2026	336-1916
ENSG00000240344.9	ENST00000286175.12	PPIL3	1370	385-882
ENSG00000196290.16	ENST00000651500.1	NIF3L1	1821	428-1561
ENSG00000115942.9	ENST00000234296.7	ORC2	4288	231-1964
ENSG00000155744.9	ENST00000418596.7	FAM126B	9333	189-1781
ENSG00000119013.9	ENST00000454214.1	NDUFB3	547	116-412
ENSG00000003402.20	ENST00000309955.8	CFLAR	14612	456-1898
ENSG00000003400.15	ENST00000360132.7	CASP10	5814	419-1240
ENSG00000064012.22	ENST00000358485.8	CASP8	2930	197-1813
ENSG00000155749.12	ENST00000405148.6	FLACC1	2013	445-1782
ENSG00000115993.13	ENST00000332624.8	TRAK2	6389	309-3053
ENSG00000082146.13	ENST00000194530.8	STRADB	2222	295-1551
ENSG00000155754.15	ENST00000439140.6	C2CD6	5702	49-5511
ENSG00000155755.19	ENST00000409444.6	TMEM237	5592	319-1521
ENSG00000082126.18	ENST00000359962.9	MPP4	2436	209-2101
ENSG00000003393.15	ENST00000264276.11	ALS2	6675	118-5091
ENSG00000138395.17	ENST00000652192.3	CDK15	3719	129-1436
ENSG00000155760.2	ENST00000286201.2	FZD7	3859	62-1786
ENSG00000182329.14	ENST00000498697.3	KIAA2012	4130	374-3919
ENSG00000116030.17	ENST00000392246.7	SUMO1	1523	147-452
ENSG00000055044.11	ENST00000264279.10	NOP58	1994	180-1769
ENSG00000204217.15	ENST00000374580.10	BMPR2	12068	1149-4265
ENSG00000138439.12	ENST00000392238.3	FAM117B	5982	220-1989
ENSG00000163596.16	ENST00000617388.4	ICA1L	8151	320-1768
ENSG00000138442.10	ENST00000261015.5	WDR12	8068	198-1469
ENSG00000138380.18	ENST00000438828.4	CARF	7974	1158-3335
ENSG00000144426.18	ENST00000449802.5	NBEAL1	10938	334-8418
ENSG00000119004.16	ENST00000356079.9	CYP20A1	10552	46-1434
ENSG00000138443.17	ENST00000295851.10	ABI2	22039	122-1663
ENSG00000173166.18	ENST00000319170.10	RAPH1	9699	192-3944
ENSG00000178562.18	ENST00000324106.9	CD28	4721	59-721
ENSG00000163599.17	ENST00000648405.2	CTLA4	1997	173-844
ENSG00000163600.13	ENST00000316386.11	ICOS	2630	53-652
ENSG00000116117.18	ENST00000406610.7	PARD3B	8492	526-4143
ENSG00000118257.16	ENST00000360409.7	NRP2	6662	792-3587
ENSG00000114933.16	ENST00000403263.6	INO80D	14128	398-3481
ENSG00000023228.14	ENST00000233190.11	NDUFS1	11660	109-2292
ENSG00000114942.14	ENST00000429769.5	EEF1B2	912	71-277
ENSG00000183671.12	ENST00000612892.4	GPR1	2565	638-1705
ENSG00000204186.10	ENST00000649650.1	ZDBF2	10303	405-7469
ENSG00000114948.13	ENST00000264377.8	ADAM23	6334	336-2834
ENSG00000235118.8	ENST00000441223.3	FAM237A	944	182-727
ENSG00000232125.5	ENST00000452335.2	DYTN	2051	118-1854
ENSG00000138400.13	ENST00000374412.8	MDH1B	2334	58-1614
ENSG00000118246.14	ENST00000402774.8	FASTKD2	6712	193-2325
ENSG00000144410.5	ENST00000272852.4	CPO	1245	83-1207
ENSG00000118263.15	ENST00000309446.11	KLF7	8365	381-1289
ENSG00000118260.15	ENST00000353267.8	CREB1	10095	182-1165
ENSG00000144401.14	ENST00000411432.5	METTL21A	4805	218-874
ENSG00000163249.13	ENST00000295414.8	CCNYL1	3813	258-1337
ENSG00000163251.4	ENST00000295417.4	FZD5	7039	898-2655
ENSG00000178385.15	ENST00000427836.8	PLEKHM3	9774	458-2743
ENSG00000118231.5	ENST00000264376.5	CRYGD	642	52-576
ENSG00000163254.5	ENST00000282141.4	CRYGC	627	37-561
ENSG00000182187.4	ENST00000260988.5	CRYGB	631	39-566
ENSG00000168582.5	ENST00000304502.5	CRYGA	622	34-558
ENSG00000188674.11	ENST00000341287.9	C2orf80	1195	154-735
ENSG00000138413.14	ENST00000415913.5	IDH1	2441	383-1627
ENSG00000115020.17	ENST00000264380.9	PIKFYVE	9908	171-6467
ENSG00000144407.9	ENST00000272847.6	PTH2R	2713	214-1866
ENSG00000078018.20	ENST00000673860.1	MAP2	10012	319-6291
ENSG00000144406.19	ENST00000673920.1	UNC80	13917	242-10216
ENSG00000197713.15	ENST00000359429.11	RPE	3180	25-711
ENSG00000144445.17	ENST00000281772.14	KANSL1L	4782	291-3254
ENSG00000115361.8	ENST00000233710.4	ACADL	2515	185-1477
ENSG00000168530.16	ENST00000352451.4	MYL1	1049	133-717
ENSG00000115365.12	ENST00000443314.5	LANCL1	4781	344-1543
ENSG00000021826.17	ENST00000673630.1	CPS1	5775	335-4837
ENSG00000178568.15	ENST00000342788.9	ERBB4	12097	273-4199
ENSG00000030419.16	ENST00000457361.5	IKZF2	9350	446-1681
ENSG00000144451.19	ENST00000452556.5	SPAG16	4751	30-224
ENSG00000174453.10	ENST00000312504.10	VWC2L	4638	814-1482
ENSG00000138376.11	ENST00000260947.9	BARD1	5478	115-2448
ENSG00000144452.15	ENST00000272895.12	ABCA12	9298	419-8206
ENSG00000138363.15	ENST00000435675.5	ATIC	2275	392-2167
ENSG00000115414.20	ENST00000354785.10	FN1	8815	267-7700
ENSG00000118242.16	ENST00000263268.11	MREG	3148	225-869
ENSG00000115425.14	ENST00000265322.8	PECR	1867	69-980
ENSG00000163449.11	ENST00000454545.5	TMEM169	3460	327-1220
ENSG00000079246.16	ENST00000392133.7	XRCC5	3761	462-2660
ENSG00000144583.5	ENST00000273067.5	MARCHF4	4903	2224-3456
ENSG00000138375.13	ENST00000357276.9	SMARCAL1	3201	261-3125
ENSG00000197756.10	ENST00000491306.6	RPL37A	2992	32-310
ENSG00000115457.10	ENST00000233809.9	IGFBP2	1414	105-1082
ENSG00000115461.5	ENST00000233813.5	IGFBP5	6239	775-1593
ENSG00000118245.2	ENST00000236979.2	TNP1	407	31-198
ENSG00000079308.19	ENST00000646520.1	TNS1	10680	227-5809
ENSG00000188282.12	ENST00000457754.6	RUFY4	3568	1433-1951
ENSG00000180871.8	ENST00000318507.7	CXCR2	2853	404-1486
ENSG00000163464.8	ENST00000295683.3	CXCR1	2459	89-1141
ENSG00000163466.16	ENST00000295685.14	ARPC2	1605	262-1164
ENSG00000179921.15	ENST00000522678.5	GPBAR1	2003	869-1861
ENSG00000127837.10	ENST00000444053.5	AAMP	1804	93-1400
ENSG00000127838.14	ENST00000258362.7	PNKD	2991	96-1181
ENSG00000135926.15	ENST00000444881.5	TMBIM1	2936	727-1662
ENSG00000158428.4	ENST00000289388.4	CATIP	1322	29-1192
ENSG00000018280.17	ENST00000233202.11	SLC11A1	3608	97-1749
ENSG00000144579.7	ENST00000273062.6	CTDSP1	2638	337-1122
ENSG00000127831.11	ENST00000248444.10	VIL1	6500	58-2541
ENSG00000135913.11	ENST00000258399.8	USP37	8022	404-3343
ENSG00000144580.14	ENST00000273064.11	CNOT9	3820	117-1016
ENSG00000115556.14	ENST00000432688.5	PLCD4	3225	243-2627
ENSG00000115568.15	ENST00000450765.5	ZNF142	6028	649-945
ENSG00000074582.15	ENST00000431802.5	BCS1L	2015	700-1959
ENSG00000163481.8	ENST00000295704.7	RNF25	1477	33-1412
ENSG00000163482.12	ENST00000295709.8	STK36	4873	220-4167
ENSG00000135912.11	ENST00000392102.6	TTLL4	5007	381-3980
ENSG00000135929.9	ENST00000258415.9	CYP27A1	1895	37-1632
ENSG00000115592.11	ENST00000233944.7	PRKAG3	2326	47-1516
ENSG00000115596.4	ENST00000233948.4	WNT6	1719	234-1331
ENSG00000135925.9	ENST00000258411.8	WNT10A	2055	145-1398
ENSG00000171450.6	ENST00000302625.6	CDK5R2	2490	156-1259
ENSG00000163497.3	ENST00000295727.2	FEV	1406	110-826
ENSG00000163499.12	ENST00000295728.7	CRYBA2	902	247-840
ENSG00000181378.14	ENST00000341552.10	CFAP65	5946	78-5855
ENSG00000163501.7	ENST00000295731.7	IHH	2473	455-1690
ENSG00000187736.13	ENST00000356853.10	NHEJ1	8020	97-996
ENSG00000280537.2	ENST00000318673.6	AC068946.1	2745	4-315
ENSG00000213901.11	ENST00000409878.8	SLC23A3	2322	46-1878
ENSG00000115649.16	ENST00000409789.5	CNPPD1	2073	429-1661
ENSG00000144567.11	ENST00000430297.7	RETREG2	4556	79-1710
ENSG00000158552.13	ENST00000409594.5	ZFAND2B	2021	196-726
ENSG00000115657.14	ENST00000265316.9	ABCB6	2980	286-2814
ENSG00000284820.1	ENST00000446716.5	AC068946.2	5245	1-766
ENSG00000198925.12	ENST00000409618.5	ATG9A	4025	441-2960
ENSG00000163516.14	ENST00000323348.10	ANKZF1	2540	126-2306
ENSG00000163521.16	ENST00000295759.12	GLB1L	2725	287-2251
ENSG00000115661.14	ENST00000396738.7	STK16	3118	423-1340
ENSG00000127824.14	ENST00000392088.6	TUBA4A	2499	557-1858
ENSG00000243910.8	ENST00000490341.3	TUBA4B	1389	166-891
ENSG00000135924.16	ENST00000336576.10	DNAJB2	3072	190-1164
ENSG00000054356.14	ENST00000409251.7	PTPRN	3622	167-3019
ENSG00000182698.12	ENST00000333527.6	RESP18	797	1-687
ENSG00000123992.19	ENST00000273075.8	DNPEP	2425	222-1679
ENSG00000175084.12	ENST00000373960.4	DES	2243	87-1499
ENSG00000072195.15	ENST00000312358.12	SPEG	10782	136-9939
ENSG00000286143.1	ENST00000412982.5	AC053503.6	1085	1-1030
ENSG00000286095.1	ENST00000651166.1	SPEGNB	908	94-810
ENSG00000144591.19	ENST00000358215.8	GMPPA	1823	370-1632
ENSG00000072182.12	ENST00000358078.4	ASIC4	2741	15-2015
ENSG00000123989.14	ENST00000243776.11	CHPF	3028	272-2599
ENSG00000188760.10	ENST00000344458.6	TMEM198	2393	586-1668
ENSG00000124006.15	ENST00000404537.6	OBSL1	6105	308-5998
ENSG00000123999.5	ENST00000243786.3	INHA	1351	66-1166
ENSG00000144589.22	ENST00000456909.6	STK11IP	3618	94-3360
